epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9980567097663879,0.007707944605499506,0.9960951209068298,0.9987331032752991,0.9979931116104126,0.006920401006937027,1.0,0.9979931116104126
1,0.9993917346000671,0.0019396852003410459,0.9987068772315979,0.9996724128723145,0.9993986487388611,0.0018375107320025563,1.0,0.9993986487388611
2,0.9994639158248901,0.001865896163508296,0.9989217519760132,0.9996494650840759,0.9981477856636047,0.005295062903314829,1.0,0.9981477856636047
3,0.9995145797729492,0.0013851021649315953,0.9990681409835815,0.999638020992279,0.9996219873428345,0.0015352035406976938,1.0,0.9996219873428345
4,0.9995704293251038,0.0014032319886609912,0.9991573691368103,0.9996975660324097,0.9999862313270569,0.0004076191980857402,1.0,0.9999862313270569
5,0.9995953440666199,0.0011545935412868857,0.9992008805274963,0.9997205138206482,0.9998522400856018,0.0011203499743714929,1.0,0.9998522400856018
6,0.9996108412742615,0.0011034472845494747,0.9992580413818359,0.9997044801712036,1.0,0.00033575069392099977,1.0,1.0
7,0.9996426105499268,0.0011206165654584765,0.9993107318878174,0.9997365474700928,0.9999931454658508,0.00024218625912908465,1.0,0.9999931454658508
8,0.9996657967567444,0.0010438947938382626,0.9993724822998047,0.9997365474700928,0.9994158148765564,0.0020996113307774067,1.0,0.9994158148765564
9,0.9996503591537476,0.001009962521493435,0.9993312954902649,0.9997365474700928,0.9993607997894287,0.0022110629361122847,1.0,0.9993607997894287
10,0.9996975660324097,0.0012318582739681005,0.9993976950645447,0.9997960925102234,0.9995841979980469,0.0015223135706037283,1.0,0.9995841979980469
11,0.9996950030326843,0.0009107396472245455,0.9994251728057861,0.9997617602348328,0.9999931454658508,0.00027192008565180004,1.0,0.9999931454658508
12,0.9997113347053528,0.0014132423093542457,0.9994526505470276,0.9997777938842773,0.9999896883964539,0.0001627246238058433,1.0,0.9999896883964539
13,0.9997199177742004,0.0008307513780891895,0.9994778037071228,0.9997754693031311,1.0,5.562715887208469e-05,1.0,1.0
14,0.9997087717056274,0.001923981704749167,0.9994709491729736,0.9997525811195374,1.0,6.972000119276345e-05,1.0,1.0
15,0.9997371435165405,0.000794448540546,0.9994893074035645,0.9998098611831665,0.9993607997894287,0.0019395226845517755,1.0,0.9993607997894287
16,0.9997439980506897,0.0011187029303982854,0.9995167255401611,0.9998006820678711,0.999996542930603,0.0002592967648524791,1.0,0.999996542930603
17,0.9997431039810181,0.0007173798512667418,0.9995121955871582,0.9998030066490173,0.9999381303787231,0.0006502728792838752,1.0,0.9999381303787231
18,0.9997388124465942,0.0007378849550150335,0.9995030164718628,0.9998006820678711,1.0,7.031918357824907e-05,1.0,1.0
